Time,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,blank,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,,,,,,,,,,,,,,,,,,,,,,,,
480,0.092958,0.23997,0.15792,0.15437,0.12074,0.10744,0.10928,0.11058,0.10848,0.11542,0.11017,0.10874,0.091701,0.24729,0.16222,0.14983,0.12421,0.11001,0.10859,0.10581,0.1094,0.11059,0.11246,0.1111,0.092958,0.24952,0.16981,0.14902,0.12377,0.10925,0.10465,0.11304,0.10976,0.11286,0.11131,0.10933,0.093267,0.24908,0.16321,0.14933,0.12393,0.10939,0.10921,0.11002,0.10846,0.11098,0.11148,0.10932,0.092929,0.47112,0.38548,0.47527,0.37295,0.096584,0.11708,0.11318,0.11317,0.10582,0.11183,0.10643,0.092103,0.49001,0.39946,0.48225,0.37694,0.096013,0.11207,0.11174,0.1079,0.11105,0.10789,0.11142,0.091761,0.48991,0.41459,0.4839,0.38213,0.09158,0.10895,0.11052,0.11252,0.11233,0.10823,0.10785,0.087162,0.48176,0.40346,0.49259,0.38393,0.090763,0.10705,0.1103,0.1136,0.10955,0.10533,0.11333
500,0.092982,0.25619,0.16607,0.16374,0.12195,0.10727,0.10914,0.1105,0.10846,0.11527,0.11006,0.10862,0.091411,0.2639,0.17039,0.159,0.12604,0.10983,0.10846,0.10574,0.10937,0.11051,0.11238,0.11101,0.092982,0.26709,0.17839,0.15809,0.12533,0.1092,0.10462,0.11296,0.1097,0.11284,0.11125,0.10923,0.092199,0.26582,0.17101,0.15787,0.12629,0.10928,0.10916,0.10996,0.10843,0.11092,0.11146,0.10924,0.093414,0.47581,0.39389,0.48187,0.3811,0.096661,0.11698,0.11306,0.11316,0.10577,0.11183,0.10648,0.09212,0.49752,0.41065,0.49393,0.38825,0.096068,0.11203,0.11172,0.10788,0.11101,0.10787,0.11141,0.091043,0.49462,0.42685,0.49511,0.39588,0.091592,0.10896,0.1105,0.1125,0.11227,0.10807,0.10791,0.087133,0.488,0.41495,0.50162,0.39605,0.090907,0.10698,0.11034,0.11344,0.10948,0.10529,0.1133
520,0.093892,0.27238,0.17279,0.17372,0.12253,0.10739,0.10915,0.11056,0.10844,0.11528,0.11006,0.1087,0.091965,0.28063,0.17934,0.16945,0.12705,0.10989,0.10846,0.10575,0.10939,0.11051,0.11239,0.11104,0.093892,0.2856,0.18757,0.16828,0.12658,0.10919,0.10467,0.11298,0.10978,0.11278,0.11127,0.10919,0.092439,0.28413,0.17952,0.16784,0.1272,0.10934,0.10914,0.11003,0.10847,0.11094,0.11147,0.10923,0.092678,0.48212,0.40444,0.49202,0.39383,0.10173,0.11703,0.11308,0.11315,0.10578,0.11174,0.1064,0.09196,0.49978,0.41997,0.5045,0.39757,0.095988,0.11203,0.11173,0.10797,0.11103,0.10785,0.11139,0.092153,0.49895,0.4344,0.50137,0.40579,0.091373,0.10895,0.1105,0.11244,0.11226,0.1081,0.10785,0.087055,0.48997,0.42346,0.50796,0.40638,0.090732,0.10693,0.11033,0.11343,0.10952,0.10529,0.11322
540,0.091766,0.28478,0.18303,0.18591,0.12477,0.10739,0.1092,0.11049,0.10844,0.11525,0.1101,0.10863,0.090579,0.2979,0.1883,0.18061,0.12872,0.10988,0.10845,0.10576,0.10939,0.11047,0.11237,0.11101,0.091766,0.3036,0.19687,0.17886,0.12742,0.10921,0.10462,0.11294,0.1097,0.11283,0.1113,0.10922,0.090539,0.30163,0.18882,0.17899,0.12802,0.10921,0.10909,0.10993,0.10837,0.11102,0.11144,0.10928,0.092724,0.48588,0.41251,0.49953,0.4025,0.096768,0.11707,0.11311,0.11314,0.10578,0.11185,0.10641,0.092087,0.50507,0.42804,0.51139,0.40854,0.096151,0.11201,0.1117,0.10785,0.11097,0.10778,0.11142,0.09067,0.50372,0.44123,0.50741,0.41717,0.091079,0.10889,0.11056,0.11235,0.11227,0.10809,0.10788,0.086979,0.49204,0.43012,0.51712,0.41857,0.090624,0.10692,0.11031,0.11349,0.10947,0.10526,0.11329
560,0.091824,0.3011,0.192,0.19941,0.12785,0.10734,0.10911,0.11045,0.10844,0.11524,0.11013,0.10861,0.089826,0.31337,0.19813,0.1931,0.13109,0.10987,0.10841,0.10581,0.10939,0.11046,0.11235,0.11103,0.091824,0.32071,0.20695,0.19034,0.12922,0.10919,0.10467,0.11289,0.10976,0.11286,0.11121,0.10927,0.090477,0.32122,0.19862,0.19104,0.13002,0.10926,0.10916,0.10994,0.10836,0.11109,0.11146,0.10926,0.092675,0.48611,0.41921,0.50504,0.41372,0.09623,0.1171,0.11317,0.11317,0.10573,0.1119,0.10647,0.091961,0.50803,0.43365,0.51617,0.41832,0.095992,0.11198,0.11172,0.10792,0.11106,0.10784,0.11137,0.09147,0.50649,0.44476,0.5124,0.42748,0.090968,0.10895,0.1105,0.1124,0.1123,0.10805,0.10794,0.086917,0.49354,0.43538,0.52155,0.4283,0.090762,0.10695,0.11036,0.11343,0.10944,0.10532,0.11328
580,0.091099,0.31303,0.2026,0.21277,0.1312,0.10751,0.10921,0.11056,0.10842,0.11525,0.11015,0.10867,0.091666,0.32946,0.20825,0.20641,0.13475,0.10996,0.10853,0.1058,0.10941,0.11047,0.11235,0.1111,0.091099,0.33512,0.21768,0.20409,0.13317,0.10924,0.10468,0.11293,0.10974,0.11283,0.11127,0.10927,0.089789,0.33556,0.20859,0.20367,0.13297,0.10924,0.10914,0.10994,0.10848,0.11095,0.11191,0.10928,0.09225,0.48725,0.42379,0.50806,0.42349,0.096235,0.11708,0.11313,0.11317,0.10585,0.1119,0.10647,0.091846,0.51066,0.43753,0.52009,0.42824,0.095949,0.11205,0.11174,0.10804,0.11112,0.10787,0.11145,0.091095,0.50892,0.44853,0.51831,0.43725,0.091066,0.10898,0.1105,0.11239,0.11232,0.10808,0.10792,0.087272,0.49624,0.43854,0.52366,0.4354,0.090628,0.10701,0.11036,0.11348,0.10933,0.10534,0.11327
600,0.090998,0.32308,0.21319,0.22614,0.1359,0.10745,0.10919,0.11051,0.1084,0.11525,0.11012,0.10867,0.091961,0.34064,0.21793,0.21896,0.13953,0.10994,0.10851,0.10579,0.10938,0.11043,0.11237,0.11107,0.090998,0.34872,0.22771,0.21669,0.13734,0.10922,0.10471,0.11298,0.10971,0.11279,0.11129,0.10921,0.090455,0.3497,0.2193,0.21692,0.13692,0.10927,0.10911,0.10998,0.10846,0.11097,0.11185,0.10926,0.092567,0.49008,0.4286,0.51431,0.43297,0.096302,0.11704,0.11308,0.11314,0.10582,0.11181,0.10646,0.091781,0.51278,0.44163,0.52161,0.43689,0.09604,0.11202,0.11164,0.10795,0.11102,0.10785,0.11139,0.097193,0.51095,0.45065,0.51991,0.44593,0.090826,0.10888,0.11042,0.11228,0.11229,0.10809,0.10781,0.086933,0.49638,0.44165,0.52676,0.44229,0.090579,0.10696,0.11034,0.11339,0.10929,0.10523,0.1132
620,0.090753,0.33259,0.22426,0.24123,0.13988,0.1074,0.10914,0.11049,0.10836,0.11519,0.11008,0.1086,0.091131,0.3504,0.22895,0.23354,0.14454,0.10987,0.10838,0.10574,0.10934,0.1104,0.11222,0.11101,0.090753,0.35843,0.23945,0.23154,0.14273,0.10913,0.10463,0.11291,0.10968,0.11277,0.11116,0.10913,0.090155,0.35924,0.22984,0.23194,0.14181,0.10917,0.10909,0.10989,0.10838,0.11094,0.11179,0.10921,0.091731,0.48987,0.43121,0.51447,0.44011,0.096186,0.11703,0.11303,0.11303,0.1057,0.11181,0.10637,0.091348,0.51407,0.44436,0.52331,0.44321,0.095992,0.11197,0.11164,0.10789,0.11098,0.10773,0.11134,0.093624,0.5127,0.45311,0.52364,0.45333,0.09074,0.10889,0.11035,0.11227,0.11226,0.108,0.10783,0.086929,0.49678,0.44452,0.52856,0.44869,0.090665,0.10692,0.11027,0.11326,0.10923,0.10525,0.11315
640,0.091119,0.33946,0.23562,0.25574,0.14447,0.10738,0.10914,0.11048,0.10833,0.11519,0.11005,0.10859,0.09069,0.35674,0.24051,0.2482,0.14878,0.10979,0.10839,0.10571,0.10932,0.11036,0.11229,0.11097,0.091119,0.3653,0.25154,0.24593,0.14749,0.10914,0.10458,0.11286,0.1097,0.11272,0.11122,0.10918,0.092542,0.36674,0.24217,0.24728,0.14671,0.10921,0.1091,0.10996,0.1083,0.11095,0.11186,0.10917,0.09182,0.49079,0.43247,0.51308,0.44526,0.096036,0.11696,0.11309,0.11302,0.10573,0.11165,0.10641,0.091298,0.51369,0.44623,0.52296,0.44717,0.095873,0.11196,0.11164,0.10788,0.11097,0.10779,0.11131,0.093357,0.51229,0.45371,0.5185,0.45773,0.091316,0.10889,0.11044,0.11227,0.11226,0.10807,0.10793,0.086762,0.49763,0.44636,0.52609,0.45346,0.090544,0.10691,0.11027,0.11328,0.10927,0.10527,0.1132
660,0.090877,0.34381,0.24595,0.2697,0.14877,0.10746,0.10917,0.11048,0.10836,0.11523,0.11005,0.10866,0.090776,0.36171,0.25088,0.26244,0.15379,0.10992,0.10845,0.10573,0.10933,0.11041,0.11238,0.11106,0.090877,0.37089,0.26274,0.26003,0.1526,0.1092,0.10465,0.11297,0.1098,0.11277,0.11126,0.10916,0.090888,0.37282,0.25281,0.2614,0.1512,0.10927,0.10913,0.10996,0.10837,0.11089,0.11188,0.10921,0.091763,0.49383,0.43447,0.51487,0.4533,0.096014,0.117,0.11306,0.11308,0.10577,0.11158,0.10644,0.091337,0.51383,0.44788,0.52501,0.4523,0.095939,0.11202,0.11166,0.10787,0.111,0.10781,0.11136,0.09014,0.51313,0.45594,0.51946,0.46197,0.090846,0.10892,0.11049,0.11225,0.11228,0.10808,0.10794,0.086958,0.49627,0.44946,0.52288,0.45848,0.09057,0.10691,0.11033,0.11331,0.10933,0.10536,0.11318
680,0.0905,0.3503,0.25963,0.28528,0.15432,0.10737,0.10914,0.11048,0.1083,0.11509,0.1101,0.10861,0.091174,0.36611,0.262,0.27659,0.15966,0.10991,0.10847,0.10583,0.10925,0.11037,0.11235,0.11101,0.0905,0.37492,0.27489,0.27557,0.15841,0.10921,0.10461,0.1129,0.10963,0.1127,0.1112,0.10913,0.091282,0.37844,0.26514,0.27614,0.15662,0.10919,0.10909,0.10997,0.1084,0.11093,0.11187,0.10917,0.091508,0.49243,0.43655,0.51816,0.45863,0.096112,0.11694,0.11296,0.11306,0.10578,0.11146,0.10636,0.091235,0.51434,0.44999,0.51771,0.45572,0.095828,0.112,0.11166,0.10791,0.11099,0.10781,0.11135,0.089987,0.5152,0.45763,0.52165,0.46651,0.090926,0.10884,0.11048,0.11219,0.11227,0.10804,0.10789,0.087067,0.49608,0.45262,0.52205,0.4627,0.090341,0.10694,0.11027,0.11338,0.10927,0.10528,0.1132
700,0.091153,0.35364,0.27005,0.29994,0.15989,0.10744,0.10911,0.1105,0.10842,0.11515,0.11006,0.10862,0.090795,0.36971,0.27348,0.28976,0.16579,0.10987,0.10851,0.10573,0.10927,0.11032,0.11228,0.11099,0.091153,0.37858,0.28818,0.29032,0.16391,0.10921,0.10466,0.11293,0.10975,0.11276,0.11123,0.10909,0.090431,0.38166,0.27527,0.29042,0.16151,0.10915,0.10911,0.10997,0.10836,0.11095,0.11184,0.10921,0.091379,0.4881,0.43674,0.51415,0.46108,0.095789,0.11699,0.11304,0.11305,0.10579,0.11149,0.10641,0.090848,0.5129,0.45275,0.51869,0.45987,0.095862,0.11207,0.11165,0.10784,0.11098,0.10778,0.11133,0.096379,0.51231,0.4589,0.52044,0.46956,0.090815,0.10886,0.11031,0.11222,0.11226,0.10804,0.10789,0.087028,0.49534,0.45521,0.52086,0.46708,0.090421,0.10695,0.11028,0.11328,0.10923,0.10528,0.11315
720,0.090895,0.356,0.28119,0.31369,0.16585,0.10745,0.1092,0.11043,0.10837,0.1151,0.11001,0.10862,0.091863,0.37058,0.28411,0.30231,0.17217,0.10983,0.10837,0.10572,0.10935,0.11034,0.11227,0.11094,0.090895,0.37847,0.2987,0.30321,0.1698,0.10915,0.10462,0.1129,0.10967,0.11277,0.11116,0.10917,0.091171,0.38516,0.28913,0.30466,0.16808,0.10915,0.10913,0.11004,0.10838,0.11086,0.11182,0.10922,0.091007,0.49053,0.43873,0.51393,0.46461,0.095642,0.117,0.11301,0.11303,0.10574,0.11142,0.10638,0.090678,0.51183,0.45354,0.51888,0.46283,0.095938,0.11192,0.11167,0.10795,0.11102,0.10779,0.11128,0.090727,0.51002,0.45992,0.51927,0.47232,0.090824,0.10888,0.11031,0.11206,0.11223,0.10801,0.10793,0.08679,0.49252,0.45695,0.52115,0.47082,0.090235,0.10698,0.11022,0.11331,0.10925,0.10527,0.11314
740,0.090835,0.35863,0.28643,0.32045,0.1723,0.10744,0.10907,0.11039,0.10829,0.11503,0.10997,0.10859,0.091126,0.37414,0.29626,0.31424,0.17954,0.10983,0.1084,0.10576,0.10925,0.1103,0.11222,0.11094,0.090835,0.38108,0.31009,0.31673,0.17702,0.10912,0.10466,0.11294,0.10967,0.11268,0.11118,0.1091,0.090632,0.38609,0.29766,0.31611,0.1741,0.10914,0.10913,0.10991,0.10837,0.11091,0.11186,0.10918,0.091232,0.49021,0.43881,0.51321,0.46952,0.095633,0.11697,0.11298,0.11303,0.10572,0.11135,0.10642,0.090661,0.5103,0.45597,0.51874,0.46667,0.095712,0.11198,0.11165,0.10789,0.11101,0.10776,0.11131,0.090477,0.5106,0.46046,0.51573,0.47443,0.090825,0.10889,0.11029,0.11201,0.11222,0.10795,0.10785,0.087035,0.49129,0.45886,0.51944,0.47406,0.090206,0.10691,0.11021,0.11315,0.10921,0.10533,0.11317
760,0.091027,0.35987,0.29206,0.32956,0.17821,0.10741,0.10907,0.11034,0.10829,0.11502,0.11001,0.10857,0.089941,0.37692,0.30392,0.32363,0.18616,0.10989,0.10843,0.10576,0.10931,0.11031,0.11226,0.11093,0.091027,0.382,0.31967,0.32625,0.18404,0.10908,0.10464,0.11286,0.10965,0.11271,0.11121,0.10906,0.090481,0.38903,0.30707,0.3265,0.18054,0.10909,0.10909,0.1099,0.10833,0.11096,0.11182,0.10919,0.090869,0.48728,0.43808,0.50952,0.46807,0.095606,0.11689,0.11297,0.11299,0.10574,0.11127,0.10638,0.090465,0.50907,0.45733,0.52102,0.47043,0.095848,0.11192,0.11159,0.1079,0.11096,0.10774,0.1112,0.090116,0.51088,0.46009,0.51372,0.47641,0.090832,0.10888,0.1103,0.11198,0.11225,0.10803,0.10788,0.086832,0.49017,0.45963,0.51838,0.47698,0.089868,0.10686,0.11014,0.11323,0.10921,0.10527,0.1131
780,0.091389,0.36193,0.29751,0.33796,0.18514,0.10749,0.10914,0.11046,0.10835,0.11503,0.10998,0.10862,0.090273,0.37877,0.30965,0.33483,0.19353,0.10979,0.10835,0.10567,0.1093,0.11034,0.11221,0.11093,0.091389,0.38367,0.32617,0.33691,0.1907,0.1091,0.10465,0.11287,0.10964,0.11272,0.11122,0.10909,0.090658,0.3915,0.31641,0.33768,0.1871,0.10906,0.10904,0.10991,0.10826,0.11099,0.11177,0.10914,0.091067,0.48505,0.43774,0.50699,0.47171,0.095682,0.11689,0.11292,0.11301,0.10572,0.11121,0.10642,0.090422,0.50534,0.45777,0.51489,0.47334,0.095806,0.11193,0.11152,0.10784,0.11092,0.10776,0.11125,0.098727,0.5082,0.45814,0.50937,0.47798,0.090645,0.10885,0.11027,0.11194,0.11219,0.108,0.10788,0.086665,0.48759,0.45808,0.51655,0.47966,0.08979,0.10689,0.11027,0.11313,0.10917,0.1053,0.11311
800,0.091024,0.36291,0.30101,0.3472,0.1921,0.10738,0.10897,0.11035,0.10835,0.11499,0.11002,0.10854,0.091345,0.38245,0.31593,0.34533,0.20097,0.10981,0.10841,0.10572,0.10926,0.11028,0.1122,0.11098,0.091024,0.38565,0.33122,0.34559,0.19801,0.1091,0.10464,0.1129,0.10966,0.11272,0.11121,0.10909,0.090195,0.39129,0.32196,0.34687,0.19471,0.10901,0.109,0.10992,0.10826,0.11093,0.11174,0.10919,0.090727,0.48423,0.43551,0.50719,0.47279,0.09542,0.11687,0.11297,0.11296,0.10573,0.11122,0.10633,0.090811,0.50388,0.45642,0.5125,0.47406,0.09565,0.11197,0.11157,0.10783,0.11091,0.10773,0.11125,0.090313,0.50812,0.4559,0.50984,0.47845,0.090807,0.10882,0.11026,0.11189,0.11221,0.10802,0.10781,0.086697,0.48669,0.45655,0.51441,0.4812,0.089717,0.10685,0.11008,0.11316,0.10918,0.10529,0.11313
820,0.090737,0.36394,0.30501,0.35236,0.19833,0.10742,0.10909,0.11036,0.10833,0.11494,0.10994,0.10858,0.090396,0.383,0.31977,0.35247,0.20877,0.10976,0.10832,0.10568,0.1093,0.11031,0.11215,0.11095,0.090737,0.38808,0.33528,0.35334,0.20596,0.10905,0.10455,0.11266,0.10966,0.11279,0.11117,0.1092,0.090162,0.39002,0.32462,0.35546,0.20177,0.10901,0.10898,0.10989,0.10828,0.11086,0.11174,0.10914,0.090786,0.4789,0.43265,0.50519,0.47373,0.097573,0.11681,0.1128,0.113,0.10571,0.11071,0.10629,0.090405,0.50316,0.45435,0.51157,0.47521,0.095552,0.11187,0.11159,0.10776,0.11085,0.10768,0.11125,0.095487,0.50524,0.45296,0.50709,0.47945,0.090946,0.10881,0.11019,0.11179,0.11213,0.10797,0.10779,0.086778,0.48751,0.4546,0.5116,0.48181,0.089537,0.10686,0.11005,0.11316,0.10911,0.10527,0.11307
840,0.091062,0.36411,0.30818,0.35904,0.20435,0.10744,0.10912,0.11038,0.10834,0.11492,0.10998,0.10854,0.090478,0.38346,0.32146,0.36,0.21618,0.10976,0.10837,0.10572,0.10926,0.1103,0.1122,0.11095,0.091062,0.38733,0.33704,0.35885,0.21346,0.10906,0.1046,0.11284,0.10964,0.11271,0.1112,0.1091,0.089752,0.39181,0.32926,0.3626,0.21006,0.10901,0.109,0.10992,0.1083,0.11092,0.11178,0.10916,0.090831,0.47486,0.42998,0.50071,0.47173,0.095386,0.11682,0.1129,0.113,0.10574,0.11073,0.10637,0.090452,0.50124,0.45089,0.50971,0.47647,0.095377,0.11189,0.11153,0.10791,0.11086,0.10776,0.11122,0.090076,0.50379,0.45015,0.50747,0.47974,0.090679,0.10884,0.11022,0.11188,0.11219,0.10796,0.10788,0.086829,0.48505,0.44892,0.50888,0.48152,0.089506,0.10684,0.11016,0.11313,0.10918,0.10527,0.11308
860,0.090626,0.36539,0.31003,0.36484,0.21194,0.10748,0.10911,0.11039,0.10836,0.11496,0.10995,0.10863,0.092082,0.38491,0.3245,0.36791,0.22471,0.10975,0.10838,0.10574,0.10924,0.11031,0.11224,0.11093,0.090626,0.39017,0.34051,0.36723,0.22238,0.10907,0.1046,0.11273,0.10969,0.11278,0.11116,0.10914,0.090696,0.39223,0.33314,0.36981,0.21801,0.10898,0.10899,0.10992,0.1083,0.11095,0.11172,0.10922,0.090692,0.47159,0.42872,0.50196,0.47212,0.095286,0.11679,0.11283,0.11301,0.10582,0.11064,0.10633,0.090543,0.50207,0.44666,0.50778,0.47689,0.095581,0.11188,0.11155,0.10776,0.1108,0.10773,0.11125,0.09815,0.49463,0.44915,0.50805,0.48207,0.090691,0.10888,0.11018,0.1119,0.11217,0.10802,0.10785,0.086665,0.48399,0.44934,0.50627,0.4796,0.089491,0.10682,0.11016,0.11313,0.10912,0.10533,0.113
880,0.091105,0.36612,0.31235,0.36966,0.21933,0.10753,0.10911,0.11044,0.10831,0.11495,0.11001,0.10864,0.090595,0.38585,0.32625,0.37333,0.23316,0.10975,0.10835,0.10573,0.10932,0.11031,0.11226,0.11094,0.091105,0.39137,0.34002,0.37288,0.23043,0.1091,0.10464,0.11286,0.10967,0.11272,0.11123,0.10914,0.090435,0.39477,0.33334,0.37701,0.22531,0.10902,0.10903,0.10996,0.1083,0.11089,0.1118,0.10922,0.090698,0.46844,0.42593,0.4972,0.47073,0.095419,0.11677,0.11286,0.11299,0.10577,0.11045,0.10639,0.092554,0.50171,0.44516,0.50129,0.4747,0.09549,0.11191,0.11153,0.10781,0.11077,0.10781,0.11122,0.089955,0.49315,0.44467,0.50309,0.47845,0.090739,0.10884,0.11027,0.11179,0.11219,0.10804,0.10789,0.086618,0.48285,0.44458,0.50216,0.477,0.089473,0.10687,0.11018,0.11306,0.10897,0.10533,0.11311
900,0.090865,0.3666,0.31475,0.3736,0.2261,0.10747,0.10913,0.11039,0.10832,0.11488,0.10998,0.10864,0.090716,0.38681,0.3283,0.3795,0.24188,0.10978,0.10835,0.10569,0.10932,0.11038,0.11223,0.11096,0.090865,0.39226,0.34229,0.37762,0.2387,0.10908,0.10466,0.11287,0.10968,0.1127,0.1112,0.10914,0.08956,0.39582,0.33584,0.38274,0.23311,0.10897,0.10898,0.10991,0.10826,0.11099,0.11183,0.10918,0.090593,0.46331,0.42242,0.49593,0.46521,0.095219,0.11674,0.11288,0.11306,0.10585,0.11049,0.10637,0.090307,0.49988,0.44063,0.49739,0.472,0.095456,0.11192,0.1116,0.1078,0.11076,0.10777,0.11127,0.098782,0.49278,0.44325,0.49701,0.47426,0.090504,0.10883,0.11027,0.11185,0.1122,0.10809,0.10794,0.086751,0.4802,0.44249,0.50125,0.47533,0.089529,0.10692,0.11004,0.1131,0.10887,0.10535,0.11303
920,0.091913,0.36713,0.31603,0.37877,0.2339,0.1075,0.10906,0.11037,0.10828,0.11492,0.10993,0.10853,0.091501,0.38599,0.32923,0.3842,0.25033,0.10967,0.10824,0.10569,0.10933,0.11027,0.11216,0.11077,0.091913,0.39377,0.3439,0.38325,0.24746,0.10904,0.10458,0.11269,0.10973,0.1127,0.1112,0.10919,0.090375,0.39553,0.33839,0.38816,0.24123,0.10896,0.10897,0.10991,0.10823,0.11094,0.11177,0.10915,0.090897,0.46868,0.42352,0.49025,0.46562,0.095239,0.11676,0.11279,0.11301,0.10579,0.11042,0.10634,0.090233,0.49899,0.43922,0.49429,0.46894,0.095372,0.11192,0.11153,0.10784,0.11072,0.10772,0.11124,0.092147,0.4914,0.44216,0.49559,0.47578,0.090469,0.10882,0.11018,0.11178,0.11218,0.10808,0.10789,0.086676,0.47832,0.43934,0.49458,0.47329,0.089619,0.10688,0.11002,0.11308,0.10889,0.10531,0.11305
940,0.091174,0.36712,0.31709,0.38281,0.24158,0.10754,0.10912,0.1104,0.10829,0.11484,0.10993,0.10862,0.090766,0.38728,0.33045,0.38864,0.25971,0.10973,0.10836,0.1057,0.10927,0.11026,0.11225,0.1109,0.091174,0.39388,0.34438,0.38768,0.25562,0.10908,0.1046,0.11278,0.10962,0.11267,0.11114,0.10915,0.089726,0.39632,0.33887,0.39362,0.24913,0.10899,0.109,0.1099,0.10828,0.11088,0.11175,0.10916,0.090384,0.46269,0.41998,0.4864,0.46029,0.095248,0.11678,0.11281,0.11298,0.1058,0.11038,0.10635,0.090473,0.49706,0.43521,0.49026,0.46424,0.095191,0.11189,0.1115,0.10775,0.11076,0.10768,0.11122,0.089841,0.48916,0.44002,0.49064,0.4695,0.090422,0.10882,0.11014,0.11178,0.1121,0.10799,0.10784,0.086794,0.47756,0.43788,0.49075,0.4708,0.089423,0.10683,0.11,0.11304,0.10888,0.1053,0.11305
960,0.091582,0.3671,0.31907,0.38613,0.24902,0.10752,0.1091,0.11042,0.10829,0.11492,0.10991,0.1086,0.090426,0.388,0.33298,0.39316,0.2691,0.10975,0.10834,0.1057,0.10923,0.11027,0.11223,0.11092,0.091582,0.3944,0.34668,0.38981,0.26479,0.10904,0.10457,0.11281,0.10964,0.11264,0.11116,0.10916,0.090286,0.39647,0.34183,0.39661,0.2588,0.10892,0.10902,0.10989,0.10822,0.111,0.11177,0.10921,0.09046,0.46439,0.41996,0.48344,0.45655,0.095172,0.11676,0.11287,0.11299,0.10581,0.11034,0.10639,0.090245,0.49505,0.43301,0.4872,0.46324,0.095308,0.11191,0.11146,0.10772,0.11072,0.10772,0.11126,0.089981,0.4878,0.43879,0.48838,0.4676,0.090365,0.10879,0.11015,0.11177,0.11214,0.10806,0.10787,0.086457,0.47373,0.43641,0.48664,0.46706,0.089588,0.10683,0.11005,0.11299,0.10883,0.10535,0.11307
